index,host_identity_verified,boro,instant_bookable,cancellation_policy,room_type,price,service_fee,minimum_nights,review_rate_number
77,False,manhattan,True,strict,privater,382.0,76.0,7.0,3.0
78,True,manhattan,False,flexible,entire,114.0,23.0,7.0,4.0
79,True,manhattan,True,flexible,privater,993.0,199.0,1.0,3.0
80,False,manhattan,False,flexible,entire,165.0,33.0,5.0,2.0
81,False,brooklyn,True,strict,entire,299.0,60.0,20.0,1.0
82,False,brooklyn,True,flexible,privater,236.0,47.0,2.0,5.0
83,True,brooklyn,True,flexible,privater,170.0,34.0,7.0,5.0
84,True,manhattan,False,strict,privater,95.0,19.0,1.0,4.0
85,False,manhattan,True,strict,entire,357.0,71.0,7.0,1.0
86,True,queens,False,flexible,privater,343.0,69.0,3.0,2.0
87,True,brooklyn,False,flexible,privater,756.0,151.0,5.0,1.0
88,True,brooklyn,False,moderate,privater,922.0,184.0,7.0,4.0
89,True,manhattan,False,moderate,entire,360.0,72.0,7.0,4.0
90,False,manhattan,False,flexible,privater,401.0,80.0,1.0,2.0
91,False,brooklyn,True,moderate,entire,810.0,162.0,30.0,1.0
92,True,brooklyn,True,moderate,entire,175.0,35.0,30.0,1.0
93,True,brooklyn,True,moderate,privater,525.0,105.0,2.0,2.0
94,False,manhattan,False,moderate,entire,1177.0,235.0,2.0,2.0
95,False,brooklyn,False,moderate,entire,1104.0,221.0,14.0,2.0
96,False,brooklyn,False,strict,entire,191.0,38.0,3.0,3.0
97,True,brooklyn,False,strict,privater,615.0,123.0,1.0,5.0
98,True,manhattan,False,flexible,entire,1019.0,204.0,7.0,4.0
99,False,queens,True,flexible,privater,462.0,92.0,3.0,4.0
100,False,queens,True,strict,privater,806.0,161.0,3.0,1.0
101,False,brooklyn,True,flexible,entire,1178.0,236.0,3.0,5.0
102,True,queens,True,strict,entire,364.0,73.0,14.0,4.0
103,True,brooklyn,False,moderate,privater,1144.0,229.0,2.0,3.0
104,True,manhattan,False,moderate,entire,1139.0,228.0,30.0,3.0
105,True,brooklyn,True,moderate,entire,414.0,83.0,3.0,3.0
106,True,manhattan,True,strict,entire,1187.0,237.0,365.0,1.0
107,True,brooklyn,True,moderate,privater,1077.0,215.0,3.0,4.0
108,False,brooklyn,False,strict,privater,1120.0,224.0,3.0,3.0
109,False,brooklyn,True,strict,privater,179.0,36.0,7.0,5.0
110,True,manhattan,False,moderate,privater,109.0,22.0,3.0,3.0
111,False,manhattan,True,moderate,entire,1112.0,222.0,1.0,2.0
112,True,queens,True,moderate,entire,712.0,142.0,28.0,1.0
113,False,brooklyn,False,strict,sharedr,621.0,124.0,1.0,4.0
114,True,manhattan,True,strict,privater,1145.0,229.0,3.0,3.0
115,False,brooklyn,True,moderate,entire,943.0,189.0,1.0,3.0
116,True,queens,False,flexible,privater,150.0,30.0,1.0,1.0
117,False,brooklyn,False,flexible,privater,1083.0,217.0,1.0,5.0
118,True,queens,True,moderate,entire,1168.0,234.0,14.0,4.0
119,True,manhattan,False,strict,privater,364.0,73.0,7.0,1.0
120,True,brooklyn,False,flexible,entire,841.0,168.0,4.0,2.0
121,True,brooklyn,True,moderate,privater,198.0,40.0,1.0,2.0
122,False,brooklyn,False,flexible,entire,1188.0,238.0,5.0,4.0
123,True,manhattan,False,moderate,entire,1136.0,227.0,2.0,3.0
124,True,manhattan,False,moderate,privater,671.0,134.0,7.0,5.0
125,False,manhattan,False,moderate,entire,1052.0,210.0,7.0,4.0
126,True,manhattan,False,strict,entire,1060.0,212.0,1.0,3.0
127,False,brooklyn,False,flexible,entire,691.0,138.0,30.0,4.0
128,True,queens,False,flexible,entire,1163.0,233.0,30.0,1.0
129,False,manhattan,False,moderate,privater,305.0,61.0,30.0,4.0
130,True,manhattan,False,strict,privater,140.0,28.0,1.0,4.0
131,True,queens,True,flexible,privater,1069.0,214.0,2.0,3.0
132,True,manhattan,True,strict,entire,673.0,135.0,180.0,3.0
133,True,brooklyn,False,strict,entire,1148.0,230.0,3.0,1.0
134,True,manhattan,True,flexible,privater,1132.0,226.0,30.0,1.0
135,False,brooklyn,True,strict,privater,338.0,68.0,5.0,1.0
136,False,manhattan,True,moderate,entire,369.0,74.0,185.0,2.0
137,False,manhattan,True,moderate,entire,606.0,121.0,1.0,1.0
138,True,brooklyn,False,flexible,entire,1038.0,208.0,180.0,1.0
139,False,manhattan,False,moderate,entire,636.0,127.0,1.0,2.0
140,False,brooklyn,True,moderate,privater,653.0,131.0,2.0,3.0
141,False,manhattan,True,flexible,entire,812.0,162.0,7.0,1.0
142,False,staten,False,flexible,entire,342.0,68.0,30.0,2.0
143,False,manhattan,False,flexible,entire,147.0,29.0,5.0,4.0
144,False,queens,False,moderate,sharedr,454.0,91.0,7.0,2.0
145,True,staten,True,moderate,entire,848.0,170.0,2.0,4.0
146,False,manhattan,True,flexible,entire,614.0,123.0,2.0,1.0
147,True,brooklyn,False,moderate,privater,623.0,125.0,90.0,5.0
148,True,manhattan,False,moderate,entire,921.0,184.0,3.0,4.0
149,False,queens,True,moderate,privater,543.0,109.0,1.0,1.0
150,True,manhattan,False,flexible,privater,629.0,126.0,56.0,4.0
151,True,manhattan,False,moderate,entire,666.0,133.0,1.0,1.0
152,True,brooklyn,False,flexible,privater,1056.0,211.0,30.0,5.0
153,True,brooklyn,True,strict,privater,216.0,43.0,2.0,3.0
154,True,queens,False,moderate,privater,86.0,17.0,1.0,2.0
155,False,queens,True,flexible,sharedr,747.0,149.0,1.0,4.0
156,False,brooklyn,False,moderate,privater,96.0,19.0,90.0,3.0
157,True,brooklyn,False,strict,entire,909.0,182.0,5.0,1.0
158,False,manhattan,True,moderate,entire,533.0,107.0,60.0,1.0
159,False,manhattan,False,strict,entire,439.0,88.0,3.0,3.0
160,False,brooklyn,True,moderate,entire,1027.0,205.0,5.0,4.0
161,True,manhattan,True,flexible,entire,323.0,65.0,3.0,2.0
162,False,brooklyn,True,strict,entire,185.0,37.0,3.0,2.0
163,False,brooklyn,False,moderate,privater,526.0,105.0,1.0,4.0
164,True,brooklyn,False,moderate,privater,536.0,107.0,7.0,4.0
165,False,manhattan,False,moderate,entire,1110.0,222.0,6.0,4.0
166,False,bronx,True,moderate,privater,534.0,107.0,3.0,2.0
167,True,manhattan,False,strict,entire,417.0,83.0,1.0,3.0
168,True,manhattan,False,moderate,privater,272.0,54.0,15.0,3.0
169,False,brooklyn,False,strict,privater,1121.0,224.0,28.0,4.0
170,True,manhattan,False,flexible,entire,777.0,155.0,30.0,1.0
171,False,brooklyn,True,flexible,entire,777.0,155.0,7.0,5.0
172,True,manhattan,True,moderate,entire,842.0,168.0,3.0,2.0
173,True,brooklyn,True,moderate,entire,1043.0,209.0,7.0,1.0
174,False,brooklyn,True,flexible,privater,735.0,147.0,10.0,2.0
175,True,queens,True,moderate,privater,359.0,72.0,6.0,4.0
176,False,brooklyn,False,moderate,privater,1005.0,201.0,3.0,3.0
177,False,brooklyn,True,flexible,privater,170.0,34.0,1.0,3.0
178,True,queens,False,flexible,sharedr,609.0,122.0,2.0,5.0
179,False,manhattan,True,strict,entire,259.0,52.0,365.0,3.0
180,True,manhattan,True,moderate,entire,198.0,40.0,1000.0,3.0
181,False,manhattan,True,flexible,entire,654.0,131.0,30.0,1.0
182,True,manhattan,True,strict,entire,225.0,45.0,1.0,5.0
183,False,manhattan,True,moderate,entire,972.0,194.0,1.0,4.0
184,True,manhattan,False,flexible,privater,363.0,73.0,1.0,5.0
185,True,manhattan,True,flexible,privater,837.0,167.0,1.0,2.0
186,True,brooklyn,False,moderate,privater,149.0,30.0,1.0,1.0
187,False,manhattan,False,moderate,privater,881.0,176.0,1.0,4.0
188,True,queens,True,strict,entire,695.0,139.0,7.0,3.0
189,True,brooklyn,True,strict,privater,493.0,99.0,1.0,4.0
190,False,brooklyn,False,moderate,privater,229.0,46.0,3.0,4.0
191,True,brooklyn,True,flexible,entire,84.0,17.0,1.0,1.0
192,True,staten,False,strict,entire,1025.0,205.0,7.0,5.0
193,True,manhattan,False,flexible,entire,605.0,121.0,1.0,1.0
194,False,manhattan,False,strict,privater,333.0,67.0,1.0,5.0
195,False,manhattan,True,strict,entire,1168.0,234.0,2.0,5.0
196,True,manhattan,True,flexible,entire,994.0,199.0,5.0,3.0
197,False,brooklyn,True,moderate,privater,546.0,109.0,2.0,4.0
198,True,manhattan,False,moderate,entire,92.0,18.0,1.0,5.0
199,False,manhattan,True,moderate,entire,664.0,133.0,2.0,5.0
200,False,manhattan,False,strict,entire,235.0,47.0,1.0,4.0
201,False,brooklyn,False,flexible,privater,584.0,117.0,5.0,2.0
202,False,manhattan,True,moderate,privater,1197.0,239.0,1.0,3.0
203,True,manhattan,False,strict,entire,947.0,189.0,5.0,3.0
204,False,manhattan,False,moderate,entire,767.0,153.0,1.0,3.0
205,True,brooklyn,False,strict,entire,1136.0,227.0,1.0,4.0
206,True,manhattan,False,flexible,entire,505.0,101.0,60.0,3.0
207,False,manhattan,False,strict,entire,684.0,137.0,1.0,4.0
208,True,brooklyn,False,flexible,entire,621.0,124.0,9.0,3.0
209,True,brooklyn,False,strict,entire,134.0,27.0,1.0,4.0
210,False,brooklyn,True,flexible,privater,613.0,123.0,7.0,2.0
211,False,brooklyn,True,flexible,privater,707.0,141.0,2.0,4.0
212,True,manhattan,False,flexible,entire,571.0,114.0,1.0,1.0
213,False,manhattan,False,strict,entire,1078.0,216.0,2.0,3.0
214,False,manhattan,False,strict,privater,866.0,173.0,1.0,4.0
215,False,manhattan,True,flexible,privater,1132.0,226.0,30.0,3.0
216,False,brooklyn,False,strict,entire,512.0,102.0,7.0,4.0
217,True,manhattan,False,strict,entire,92.0,18.0,5.0,4.0
218,True,manhattan,False,moderate,entire,904.0,181.0,4.0,4.0
219,False,brooklyn,False,strict,privater,1059.0,212.0,31.0,3.0
220,False,manhattan,True,strict,entire,978.0,196.0,1.0,2.0
221,True,brooklyn,False,strict,entire,401.0,80.0,15.0,5.0
222,True,manhattan,False,flexible,entire,938.0,188.0,1.0,2.0
223,True,brooklyn,True,moderate,entire,460.0,92.0,1.0,1.0
224,True,brooklyn,True,flexible,entire,471.0,94.0,5.0,4.0
225,False,manhattan,False,moderate,entire,694.0,139.0,1.0,2.0
226,True,brooklyn,False,moderate,entire,841.0,168.0,3.0,5.0
227,False,manhattan,True,strict,entire,169.0,34.0,1.0,5.0
228,True,manhattan,True,moderate,entire,206.0,41.0,1.0,1.0
229,False,manhattan,True,flexible,entire,797.0,159.0,3.0,4.0
230,True,manhattan,True,moderate,entire,662.0,132.0,7.0,2.0
231,False,manhattan,True,moderate,privater,890.0,178.0,5.0,2.0
232,True,manhattan,True,moderate,entire,166.0,33.0,1.0,5.0
233,True,manhattan,True,strict,entire,852.0,170.0,4.0,4.0
234,False,brooklyn,True,strict,entire,857.0,171.0,5.0,2.0
235,True,manhattan,True,flexible,entire,896.0,179.0,5.0,5.0
236,True,manhattan,True,strict,entire,707.0,141.0,3.0,1.0
237,True,manhattan,False,moderate,privater,98.0,20.0,365.0,2.0
238,False,brooklyn,True,strict,entire,739.0,148.0,4.0,3.0
239,False,manhattan,True,strict,entire,774.0,155.0,7.0,2.0
240,True,brooklyn,False,flexible,privater,257.0,51.0,25.0,4.0
241,False,brooklyn,True,moderate,privater,69.0,14.0,7.0,2.0
242,False,manhattan,True,moderate,entire,237.0,47.0,1.0,5.0
243,True,manhattan,False,flexible,entire,1142.0,228.0,3.0,1.0
244,False,manhattan,False,moderate,entire,1103.0,221.0,1.0,3.0
245,True,manhattan,False,strict,entire,341.0,68.0,1.0,5.0
246,True,manhattan,True,strict,privater,740.0,148.0,2.0,3.0
247,True,queens,False,moderate,privater,401.0,80.0,7.0,1.0
248,False,queens,False,flexible,privater,174.0,35.0,1.0,3.0
249,True,brooklyn,True,strict,privater,564.0,113.0,10.0,5.0
250,False,manhattan,False,flexible,entire,381.0,76.0,1.0,2.0
251,True,brooklyn,True,moderate,entire,641.0,128.0,5.0,2.0
252,False,manhattan,False,flexible,entire,530.0,106.0,3.0,5.0
253,False,brooklyn,False,strict,privater,595.0,119.0,1.0,4.0
254,False,brooklyn,False,moderate,entire,183.0,37.0,1.0,1.0
255,True,queens,True,strict,entire,695.0,139.0,5.0,1.0
256,True,brooklyn,True,moderate,entire,530.0,106.0,2.0,3.0
257,True,brooklyn,False,flexible,privater,449.0,90.0,1.0,2.0
258,True,manhattan,True,moderate,entire,572.0,114.0,1.0,2.0
259,False,manhattan,False,flexible,entire,870.0,174.0,1.0,2.0
260,False,manhattan,True,flexible,entire,1192.0,238.0,4.0,3.0
261,False,manhattan,True,strict,entire,787.0,157.0,1.0,1.0
262,True,manhattan,True,flexible,privater,596.0,119.0,1.0,5.0
263,True,manhattan,True,moderate,entire,72.0,14.0,1.0,2.0
264,True,brooklyn,False,strict,privater,195.0,39.0,4.0,3.0
265,False,brooklyn,True,moderate,privater,321.0,64.0,5.0,2.0
266,True,brooklyn,True,strict,privater,313.0,63.0,1.0,5.0
267,False,brooklyn,True,moderate,privater,1050.0,210.0,7.0,2.0
268,False,manhattan,False,moderate,entire,1125.0,225.0,1.0,3.0
269,True,brooklyn,False,moderate,privater,396.0,79.0,4.0,1.0
270,True,manhattan,True,flexible,entire,120.0,24.0,1.0,3.0
271,False,brooklyn,True,moderate,privater,67.0,13.0,5.0,4.0
272,True,manhattan,True,moderate,entire,888.0,178.0,1.0,5.0
273,False,brooklyn,True,strict,privater,526.0,105.0,7.0,5.0
274,True,brooklyn,True,moderate,entire,142.0,28.0,7.0,3.0
275,False,manhattan,False,moderate,privater,903.0,181.0,2.0,4.0
276,False,manhattan,True,moderate,entire,290.0,58.0,1.0,3.0
277,False,manhattan,False,moderate,entire,490.0,98.0,1.0,4.0
278,True,manhattan,True,strict,entire,174.0,35.0,1.0,1.0
279,True,manhattan,False,strict,entire,665.0,133.0,3.0,4.0
280,False,manhattan,False,flexible,entire,250.0,50.0,1.0,5.0
281,True,manhattan,True,moderate,entire,655.0,131.0,1.0,5.0
282,False,manhattan,True,strict,entire,503.0,101.0,1.0,1.0
283,True,brooklyn,False,strict,privater,1084.0,217.0,1.0,4.0
284,True,manhattan,False,moderate,entire,1129.0,226.0,1.0,2.0
285,True,manhattan,True,moderate,entire,75.0,15.0,1.0,4.0
286,True,manhattan,False,strict,entire,721.0,144.0,1.0,4.0
287,True,manhattan,True,flexible,entire,954.0,191.0,2.0,5.0
288,True,brooklyn,True,moderate,entire,1013.0,203.0,1.0,4.0
289,True,manhattan,False,flexible,entire,181.0,36.0,10.0,3.0
290,True,manhattan,True,moderate,entire,58.0,12.0,1.0,2.0
291,False,brooklyn,True,flexible,entire,233.0,47.0,10.0,2.0
292,False,manhattan,False,flexible,entire,200.0,40.0,3.0,2.0
293,True,manhattan,False,moderate,entire,893.0,179.0,1.0,5.0
294,True,brooklyn,False,flexible,entire,730.0,146.0,5.0,3.0
295,False,brooklyn,True,flexible,entire,151.0,30.0,30.0,2.0
296,False,brooklyn,True,flexible,privater,139.0,28.0,1.0,3.0
297,False,manhattan,False,flexible,entire,1088.0,218.0,1.0,5.0
298,True,manhattan,False,moderate,entire,163.0,33.0,1.0,3.0
299,False,manhattan,False,moderate,entire,574.0,115.0,1.0,3.0
300,True,manhattan,False,moderate,entire,57.0,11.0,3.0,1.0
301,False,manhattan,True,moderate,entire,552.0,110.0,1.0,3.0
302,False,manhattan,False,strict,entire,227.0,45.0,1.0,3.0
303,False,manhattan,False,moderate,entire,220.0,44.0,4.0,5.0
304,True,manhattan,True,flexible,sharedr,578.0,116.0,1.0,4.0
305,False,brooklyn,True,moderate,entire,720.0,144.0,1.0,3.0
306,True,manhattan,False,strict,entire,705.0,141.0,1.0,1.0
307,False,manhattan,True,flexible,entire,436.0,87.0,1.0,5.0
308,False,manhattan,True,moderate,entire,358.0,72.0,3.0,1.0
309,True,brooklyn,False,flexible,entire,934.0,187.0,2.0,5.0
310,True,manhattan,False,flexible,entire,1015.0,203.0,1.0,5.0
311,True,manhattan,False,strict,entire,815.0,163.0,1.0,1.0
312,True,manhattan,True,flexible,privater,620.0,124.0,2.0,3.0
313,False,manhattan,False,flexible,entire,1038.0,208.0,1.0,1.0
314,True,manhattan,False,flexible,entire,1155.0,231.0,1.0,2.0
315,False,manhattan,False,strict,entire,943.0,189.0,1.0,5.0
316,False,manhattan,True,moderate,entire,710.0,142.0,1.0,3.0
317,True,manhattan,True,flexible,entire,450.0,90.0,1.0,4.0
318,True,manhattan,False,strict,entire,230.0,46.0,2.0,2.0
319,False,manhattan,False,moderate,privater,1197.0,239.0,1.0,3.0
320,True,manhattan,False,flexible,entire,882.0,176.0,3.0,5.0
321,False,manhattan,True,flexible,entire,1113.0,223.0,2.0,4.0
322,True,manhattan,True,flexible,entire,464.0,93.0,2.0,1.0
323,True,manhattan,False,moderate,entire,551.0,110.0,1.0,2.0
324,True,manhattan,False,moderate,entire,342.0,68.0,2.0,5.0
325,False,manhattan,True,moderate,entire,716.0,143.0,1.0,1.0
326,True,manhattan,False,moderate,entire,808.0,162.0,3.0,5.0
327,False,brooklyn,True,flexible,privater,807.0,161.0,7.0,3.0
328,True,queens,False,strict,sharedr,630.0,126.0,1.0,1.0
329,True,manhattan,False,moderate,privater,1170.0,234.0,1.0,4.0
330,False,brooklyn,True,flexible,entire,890.0,178.0,30.0,4.0
331,True,queens,False,flexible,entire,101.0,20.0,4.0,3.0
332,True,manhattan,False,strict,entire,1126.0,225.0,1.0,5.0
333,False,brooklyn,True,strict,entire,1137.0,227.0,1.0,2.0
334,True,brooklyn,False,flexible,entire,357.0,71.0,3.0,4.0
335,False,manhattan,False,flexible,entire,50.0,10.0,1.0,2.0
336,True,manhattan,False,moderate,entire,804.0,161.0,1.0,3.0
337,False,manhattan,False,flexible,entire,1193.0,239.0,1.0,3.0
338,False,manhattan,True,flexible,entire,639.0,128.0,1.0,5.0
339,False,manhattan,True,strict,entire,1020.0,204.0,1.0,4.0
340,False,brooklyn,True,moderate,entire,608.0,122.0,1.0,1.0
341,True,manhattan,False,strict,entire,207.0,41.0,7.0,1.0
342,True,manhattan,False,moderate,entire,78.0,16.0,1.0,4.0
343,False,manhattan,False,strict,entire,86.0,17.0,5.0,1.0
344,True,manhattan,True,moderate,entire,474.0,95.0,1.0,2.0
345,True,brooklyn,True,strict,entire,661.0,132.0,1.0,2.0
346,False,brooklyn,False,moderate,privater,672.0,134.0,14.0,3.0
347,True,queens,False,moderate,sharedr,1075.0,215.0,1.0,2.0
348,True,manhattan,True,moderate,entire,1142.0,228.0,1.0,4.0
349,True,manhattan,False,flexible,privater,953.0,191.0,1.0,4.0
350,True,manhattan,False,strict,entire,737.0,147.0,1.0,1.0
351,False,manhattan,True,moderate,entire,1057.0,211.0,1.0,5.0
352,True,brooklyn,False,flexible,entire,540.0,108.0,1.0,2.0
353,False,manhattan,False,moderate,privater,756.0,151.0,14.0,1.0
354,False,manhattan,False,strict,entire,278.0,56.0,1.0,4.0
355,False,brooklyn,True,moderate,entire,685.0,137.0,2.0,1.0
356,False,manhattan,False,flexible,entire,1112.0,222.0,1.0,3.0
357,False,manhattan,False,moderate,privater,544.0,109.0,7.0,3.0
358,True,manhattan,True,strict,privater,914.0,183.0,1.0,5.0
359,True,manhattan,True,flexible,entire,495.0,99.0,1.0,5.0
360,True,brooklyn,True,strict,privater,216.0,43.0,2.0,5.0
361,True,brooklyn,True,strict,entire,1130.0,226.0,2.0,5.0
362,False,brooklyn,True,moderate,privater,778.0,156.0,12.0,3.0
363,True,manhattan,False,moderate,entire,393.0,79.0,1.0,1.0
364,True,brooklyn,True,strict,privater,1075.0,215.0,3.0,1.0
365,True,brooklyn,True,strict,privater,190.0,38.0,2.0,1.0
366,True,brooklyn,True,flexible,entire,146.0,29.0,27.0,4.0
367,True,manhattan,True,flexible,entire,151.0,30.0,7.0,4.0
368,False,manhattan,True,strict,privater,259.0,52.0,1.0,5.0
369,False,brooklyn,True,moderate,privater,246.0,49.0,1.0,3.0
370,False,manhattan,False,moderate,privater,1072.0,214.0,1.0,3.0
371,True,manhattan,True,moderate,entire,1092.0,218.0,5.0,2.0
372,False,manhattan,False,flexible,entire,746.0,149.0,5.0,4.0
373,True,queens,False,strict,entire,303.0,61.0,14.0,5.0
374,True,manhattan,True,strict,entire,900.0,180.0,1.0,3.0
375,False,brooklyn,False,flexible,privater,100.0,20.0,1.0,2.0
376,False,manhattan,False,strict,entire,764.0,153.0,4.0,2.0
377,True,queens,True,flexible,privater,878.0,176.0,7.0,4.0
378,False,queens,False,flexible,sharedr,472.0,94.0,2.0,3.0
379,True,brooklyn,False,moderate,privater,630.0,126.0,3.0,2.0
380,True,manhattan,False,flexible,entire,511.0,102.0,1.0,1.0
381,True,manhattan,True,strict,privater,1164.0,233.0,3.0,4.0
382,True,manhattan,True,moderate,entire,239.0,48.0,5.0,3.0
383,True,manhattan,True,moderate,privater,1007.0,201.0,1.0,5.0
384,False,manhattan,False,moderate,privater,1064.0,213.0,1.0,1.0
385,False,brooklyn,False,moderate,entire,445.0,89.0,5.0,1.0
386,True,manhattan,True,flexible,entire,680.0,136.0,7.0,5.0
387,False,manhattan,True,moderate,entire,264.0,53.0,30.0,1.0
388,True,brooklyn,True,strict,entire,1013.0,203.0,14.0,4.0
389,True,manhattan,True,flexible,entire,855.0,171.0,5.0,3.0
390,False,brooklyn,False,flexible,entire,895.0,179.0,1.0,1.0
391,False,brooklyn,True,strict,privater,1147.0,229.0,4.0,5.0
392,False,manhattan,False,strict,sharedr,883.0,177.0,1.0,3.0
393,False,brooklyn,False,flexible,entire,362.0,72.0,2.0,2.0
394,True,brooklyn,False,moderate,entire,289.0,58.0,4.0,3.0
395,False,brooklyn,True,strict,privater,600.0,120.0,30.0,5.0
396,True,manhattan,False,moderate,entire,667.0,133.0,30.0,5.0
397,True,manhattan,False,moderate,entire,134.0,27.0,2.0,2.0
398,True,brooklyn,True,moderate,privater,990.0,198.0,7.0,1.0
399,False,manhattan,False,moderate,entire,895.0,179.0,25.0,2.0
400,True,manhattan,False,strict,entire,464.0,93.0,20.0,5.0
401,True,brooklyn,False,strict,entire,1012.0,202.0,4.0,4.0
402,True,brooklyn,False,moderate,entire,771.0,154.0,5.0,3.0
403,False,manhattan,False,flexible,privater,474.0,95.0,3.0,4.0
404,True,brooklyn,False,flexible,entire,1071.0,214.0,8.0,4.0
405,True,manhattan,True,flexible,privater,1119.0,224.0,5.0,2.0
406,False,manhattan,True,flexible,privater,659.0,132.0,1.0,4.0
407,True,brooklyn,True,flexible,entire,741.0,148.0,17.0,1.0
408,True,brooklyn,True,flexible,entire,776.0,155.0,2.0,2.0
409,True,brooklyn,True,moderate,privater,939.0,188.0,20.0,2.0
410,True,brooklyn,False,flexible,entire,666.0,133.0,3.0,4.0
411,True,brooklyn,True,flexible,privater,613.0,123.0,3.0,1.0
412,True,brooklyn,True,flexible,privater,298.0,60.0,20.0,2.0
413,True,brooklyn,True,moderate,entire,1084.0,217.0,3.0,1.0
414,False,brooklyn,False,moderate,entire,123.0,25.0,30.0,2.0
415,True,manhattan,False,flexible,entire,767.0,153.0,1.0,4.0
416,True,manhattan,True,strict,entire,311.0,62.0,1.0,5.0
417,False,manhattan,True,moderate,entire,686.0,137.0,5.0,3.0
418,False,manhattan,False,strict,entire,141.0,28.0,300.0,1.0
419,True,manhattan,False,flexible,entire,164.0,33.0,21.0,2.0
420,True,brooklyn,True,moderate,entire,1122.0,224.0,6.0,2.0
421,False,brooklyn,False,moderate,entire,510.0,102.0,2.0,3.0
422,False,manhattan,False,strict,privater,767.0,153.0,2.0,1.0
423,True,manhattan,False,flexible,entire,881.0,176.0,30.0,4.0
424,True,manhattan,True,strict,entire,964.0,193.0,8.0,5.0
425,False,manhattan,True,strict,privater,952.0,190.0,2.0,1.0
426,True,manhattan,False,strict,entire,1024.0,205.0,6.0,1.0
427,True,queens,False,moderate,entire,134.0,27.0,10.0,3.0
428,False,manhattan,True,flexible,privater,987.0,197.0,1.0,2.0
429,False,brooklyn,True,moderate,entire,701.0,140.0,1.0,1.0
430,True,manhattan,False,strict,privater,986.0,197.0,1.0,3.0
431,False,brooklyn,True,flexible,privater,329.0,66.0,10.0,3.0
432,True,brooklyn,True,moderate,entire,133.0,27.0,5.0,2.0
433,True,manhattan,False,flexible,entire,322.0,64.0,2.0,3.0
434,True,brooklyn,True,strict,privater,946.0,189.0,5.0,5.0
435,True,brooklyn,True,moderate,privater,283.0,57.0,7.0,4.0
436,True,brooklyn,True,flexible,privater,164.0,33.0,21.0,5.0
437,False,brooklyn,False,strict,entire,451.0,90.0,1.0,4.0
438,False,manhattan,True,moderate,entire,801.0,160.0,30.0,2.0
439,False,manhattan,False,strict,entire,664.0,133.0,1.0,4.0
440,False,brooklyn,True,flexible,entire,806.0,161.0,14.0,1.0
