index,host_identity_verified,instant_bookable,price,service_fee,minimum_nights,review_rate_number,boro_bronx,boro_brooklyn,boro_manhattan,boro_queens,boro_staten,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,room_type_entire,room_type_hotelr,room_type_privater,room_type_sharedr
78,True,False,114.0,23.0,7.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
79,True,True,993.0,199.0,1.0,3.0,False,False,True,False,False,True,False,False,False,False,True,False
80,False,False,165.0,33.0,5.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
81,False,True,299.0,60.0,20.0,1.0,False,True,False,False,False,False,False,True,True,False,False,False
82,False,True,236.0,47.0,2.0,5.0,False,True,False,False,False,True,False,False,False,False,True,False
83,True,True,170.0,34.0,7.0,5.0,False,True,False,False,False,True,False,False,False,False,True,False
84,True,False,95.0,19.0,1.0,4.0,False,False,True,False,False,False,False,True,False,False,True,False
85,False,True,357.0,71.0,7.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
86,True,False,343.0,69.0,3.0,2.0,False,False,False,True,False,True,False,False,False,False,True,False
87,True,False,756.0,151.0,5.0,1.0,False,True,False,False,False,True,False,False,False,False,True,False
88,True,False,922.0,184.0,7.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
89,True,False,360.0,72.0,7.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
90,False,False,401.0,80.0,1.0,2.0,False,False,True,False,False,True,False,False,False,False,True,False
91,False,True,810.0,162.0,30.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False
92,True,True,175.0,35.0,30.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False
93,True,True,525.0,105.0,2.0,2.0,False,True,False,False,False,False,True,False,False,False,True,False
94,False,False,1177.0,235.0,2.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
95,False,False,1104.0,221.0,14.0,2.0,False,True,False,False,False,False,True,False,True,False,False,False
96,False,False,191.0,38.0,3.0,3.0,False,True,False,False,False,False,False,True,True,False,False,False
97,True,False,615.0,123.0,1.0,5.0,False,True,False,False,False,False,False,True,False,False,True,False
98,True,False,1019.0,204.0,7.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
99,False,True,462.0,92.0,3.0,4.0,False,False,False,True,False,True,False,False,False,False,True,False
100,False,True,806.0,161.0,3.0,1.0,False,False,False,True,False,False,False,True,False,False,True,False
101,False,True,1178.0,236.0,3.0,5.0,False,True,False,False,False,True,False,False,True,False,False,False
102,True,True,364.0,73.0,14.0,4.0,False,False,False,True,False,False,False,True,True,False,False,False
103,True,False,1144.0,229.0,2.0,3.0,False,True,False,False,False,False,True,False,False,False,True,False
104,True,False,1139.0,228.0,30.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
105,True,True,414.0,83.0,3.0,3.0,False,True,False,False,False,False,True,False,True,False,False,False
106,True,True,1187.0,237.0,365.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
107,True,True,1077.0,215.0,3.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
108,False,False,1120.0,224.0,3.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False
109,False,True,179.0,36.0,7.0,5.0,False,True,False,False,False,False,False,True,False,False,True,False
110,True,False,109.0,22.0,3.0,3.0,False,False,True,False,False,False,True,False,False,False,True,False
111,False,True,1112.0,222.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
112,True,True,712.0,142.0,28.0,1.0,False,False,False,True,False,False,True,False,True,False,False,False
113,False,False,621.0,124.0,1.0,4.0,False,True,False,False,False,False,False,True,False,False,False,True
114,True,True,1145.0,229.0,3.0,3.0,False,False,True,False,False,False,False,True,False,False,True,False
115,False,True,943.0,189.0,1.0,3.0,False,True,False,False,False,False,True,False,True,False,False,False
116,True,False,150.0,30.0,1.0,1.0,False,False,False,True,False,True,False,False,False,False,True,False
117,False,False,1083.0,217.0,1.0,5.0,False,True,False,False,False,True,False,False,False,False,True,False
118,True,True,1168.0,234.0,14.0,4.0,False,False,False,True,False,False,True,False,True,False,False,False
119,True,False,364.0,73.0,7.0,1.0,False,False,True,False,False,False,False,True,False,False,True,False
120,True,False,841.0,168.0,4.0,2.0,False,True,False,False,False,True,False,False,True,False,False,False
121,True,True,198.0,40.0,1.0,2.0,False,True,False,False,False,False,True,False,False,False,True,False
122,False,False,1188.0,238.0,5.0,4.0,False,True,False,False,False,True,False,False,True,False,False,False
123,True,False,1136.0,227.0,2.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
124,True,False,671.0,134.0,7.0,5.0,False,False,True,False,False,False,True,False,False,False,True,False
125,False,False,1052.0,210.0,7.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
126,True,False,1060.0,212.0,1.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
127,False,False,691.0,138.0,30.0,4.0,False,True,False,False,False,True,False,False,True,False,False,False
128,True,False,1163.0,233.0,30.0,1.0,False,False,False,True,False,True,False,False,True,False,False,False
129,False,False,305.0,61.0,30.0,4.0,False,False,True,False,False,False,True,False,False,False,True,False
130,True,False,140.0,28.0,1.0,4.0,False,False,True,False,False,False,False,True,False,False,True,False
131,True,True,1069.0,214.0,2.0,3.0,False,False,False,True,False,True,False,False,False,False,True,False
132,True,True,673.0,135.0,180.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
133,True,False,1148.0,230.0,3.0,1.0,False,True,False,False,False,False,False,True,True,False,False,False
134,True,True,1132.0,226.0,30.0,1.0,False,False,True,False,False,True,False,False,False,False,True,False
135,False,True,338.0,68.0,5.0,1.0,False,True,False,False,False,False,False,True,False,False,True,False
136,False,True,369.0,74.0,185.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
137,False,True,606.0,121.0,1.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
138,True,False,1038.0,208.0,180.0,1.0,False,True,False,False,False,True,False,False,True,False,False,False
139,False,False,636.0,127.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
140,False,True,653.0,131.0,2.0,3.0,False,True,False,False,False,False,True,False,False,False,True,False
141,False,True,812.0,162.0,7.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
142,False,False,342.0,68.0,30.0,2.0,False,False,False,False,True,True,False,False,True,False,False,False
143,False,False,147.0,29.0,5.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
144,False,False,454.0,91.0,7.0,2.0,False,False,False,True,False,False,True,False,False,False,False,True
145,True,True,848.0,170.0,2.0,4.0,False,False,False,False,True,False,True,False,True,False,False,False
146,False,True,614.0,123.0,2.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
147,True,False,623.0,125.0,90.0,5.0,False,True,False,False,False,False,True,False,False,False,True,False
148,True,False,921.0,184.0,3.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
149,False,True,543.0,109.0,1.0,1.0,False,False,False,True,False,False,True,False,False,False,True,False
150,True,False,629.0,126.0,56.0,4.0,False,False,True,False,False,True,False,False,False,False,True,False
151,True,False,666.0,133.0,1.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
152,True,False,1056.0,211.0,30.0,5.0,False,True,False,False,False,True,False,False,False,False,True,False
153,True,True,216.0,43.0,2.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False
154,True,False,86.0,17.0,1.0,2.0,False,False,False,True,False,False,True,False,False,False,True,False
155,False,True,747.0,149.0,1.0,4.0,False,False,False,True,False,True,False,False,False,False,False,True
156,False,False,96.0,19.0,90.0,3.0,False,True,False,False,False,False,True,False,False,False,True,False
157,True,False,909.0,182.0,5.0,1.0,False,True,False,False,False,False,False,True,True,False,False,False
158,False,True,533.0,107.0,60.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
159,False,False,439.0,88.0,3.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
160,False,True,1027.0,205.0,5.0,4.0,False,True,False,False,False,False,True,False,True,False,False,False
161,True,True,323.0,65.0,3.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
162,False,True,185.0,37.0,3.0,2.0,False,True,False,False,False,False,False,True,True,False,False,False
163,False,False,526.0,105.0,1.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
164,True,False,536.0,107.0,7.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
165,False,False,1110.0,222.0,6.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
166,False,True,534.0,107.0,3.0,2.0,True,False,False,False,False,False,True,False,False,False,True,False
167,True,False,417.0,83.0,1.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
168,True,False,272.0,54.0,15.0,3.0,False,False,True,False,False,False,True,False,False,False,True,False
169,False,False,1121.0,224.0,28.0,4.0,False,True,False,False,False,False,False,True,False,False,True,False
170,True,False,777.0,155.0,30.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
171,False,True,777.0,155.0,7.0,5.0,False,True,False,False,False,True,False,False,True,False,False,False
172,True,True,842.0,168.0,3.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
173,True,True,1043.0,209.0,7.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False
174,False,True,735.0,147.0,10.0,2.0,False,True,False,False,False,True,False,False,False,False,True,False
175,True,True,359.0,72.0,6.0,4.0,False,False,False,True,False,False,True,False,False,False,True,False
176,False,False,1005.0,201.0,3.0,3.0,False,True,False,False,False,False,True,False,False,False,True,False
177,False,True,170.0,34.0,1.0,3.0,False,True,False,False,False,True,False,False,False,False,True,False
178,True,False,609.0,122.0,2.0,5.0,False,False,False,True,False,True,False,False,False,False,False,True
179,False,True,259.0,52.0,365.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
180,True,True,198.0,40.0,1000.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
181,False,True,654.0,131.0,30.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
182,True,True,225.0,45.0,1.0,5.0,False,False,True,False,False,False,False,True,True,False,False,False
183,False,True,972.0,194.0,1.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
184,True,False,363.0,73.0,1.0,5.0,False,False,True,False,False,True,False,False,False,False,True,False
185,True,True,837.0,167.0,1.0,2.0,False,False,True,False,False,True,False,False,False,False,True,False
186,True,False,149.0,30.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False
187,False,False,881.0,176.0,1.0,4.0,False,False,True,False,False,False,True,False,False,False,True,False
188,True,True,695.0,139.0,7.0,3.0,False,False,False,True,False,False,False,True,True,False,False,False
189,True,True,493.0,99.0,1.0,4.0,False,True,False,False,False,False,False,True,False,False,True,False
190,False,False,229.0,46.0,3.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
191,True,True,84.0,17.0,1.0,1.0,False,True,False,False,False,True,False,False,True,False,False,False
192,True,False,1025.0,205.0,7.0,5.0,False,False,False,False,True,False,False,True,True,False,False,False
193,True,False,605.0,121.0,1.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
194,False,False,333.0,67.0,1.0,5.0,False,False,True,False,False,False,False,True,False,False,True,False
195,False,True,1168.0,234.0,2.0,5.0,False,False,True,False,False,False,False,True,True,False,False,False
196,True,True,994.0,199.0,5.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False
197,False,True,546.0,109.0,2.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
198,True,False,92.0,18.0,1.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
199,False,True,664.0,133.0,2.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
200,False,False,235.0,47.0,1.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
201,False,False,584.0,117.0,5.0,2.0,False,True,False,False,False,True,False,False,False,False,True,False
202,False,True,1197.0,239.0,1.0,3.0,False,False,True,False,False,False,True,False,False,False,True,False
203,True,False,947.0,189.0,5.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
204,False,False,767.0,153.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
205,True,False,1136.0,227.0,1.0,4.0,False,True,False,False,False,False,False,True,True,False,False,False
206,True,False,505.0,101.0,60.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False
207,False,False,684.0,137.0,1.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
208,True,False,621.0,124.0,9.0,3.0,False,True,False,False,False,True,False,False,True,False,False,False
209,True,False,134.0,27.0,1.0,4.0,False,True,False,False,False,False,False,True,True,False,False,False
210,False,True,613.0,123.0,7.0,2.0,False,True,False,False,False,True,False,False,False,False,True,False
211,False,True,707.0,141.0,2.0,4.0,False,True,False,False,False,True,False,False,False,False,True,False
212,True,False,571.0,114.0,1.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
213,False,False,1078.0,216.0,2.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
214,False,False,866.0,173.0,1.0,4.0,False,False,True,False,False,False,False,True,False,False,True,False
215,False,True,1132.0,226.0,30.0,3.0,False,False,True,False,False,True,False,False,False,False,True,False
216,False,False,512.0,102.0,7.0,4.0,False,True,False,False,False,False,False,True,True,False,False,False
217,True,False,92.0,18.0,5.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
218,True,False,904.0,181.0,4.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
219,False,False,1059.0,212.0,31.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False
220,False,True,978.0,196.0,1.0,2.0,False,False,True,False,False,False,False,True,True,False,False,False
221,True,False,401.0,80.0,15.0,5.0,False,True,False,False,False,False,False,True,True,False,False,False
222,True,False,938.0,188.0,1.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
223,True,True,460.0,92.0,1.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False
224,True,True,471.0,94.0,5.0,4.0,False,True,False,False,False,True,False,False,True,False,False,False
225,False,False,694.0,139.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
226,True,False,841.0,168.0,3.0,5.0,False,True,False,False,False,False,True,False,True,False,False,False
227,False,True,169.0,34.0,1.0,5.0,False,False,True,False,False,False,False,True,True,False,False,False
228,True,True,206.0,41.0,1.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
229,False,True,797.0,159.0,3.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
230,True,True,662.0,132.0,7.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
231,False,True,890.0,178.0,5.0,2.0,False,False,True,False,False,False,True,False,False,False,True,False
232,True,True,166.0,33.0,1.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
233,True,True,852.0,170.0,4.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
234,False,True,857.0,171.0,5.0,2.0,False,True,False,False,False,False,False,True,True,False,False,False
235,True,True,896.0,179.0,5.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
236,True,True,707.0,141.0,3.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
237,True,False,98.0,20.0,365.0,2.0,False,False,True,False,False,False,True,False,False,False,True,False
238,False,True,739.0,148.0,4.0,3.0,False,True,False,False,False,False,False,True,True,False,False,False
239,False,True,774.0,155.0,7.0,2.0,False,False,True,False,False,False,False,True,True,False,False,False
240,True,False,257.0,51.0,25.0,4.0,False,True,False,False,False,True,False,False,False,False,True,False
241,False,True,69.0,14.0,7.0,2.0,False,True,False,False,False,False,True,False,False,False,True,False
242,False,True,237.0,47.0,1.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
243,True,False,1142.0,228.0,3.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
244,False,False,1103.0,221.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
245,True,False,341.0,68.0,1.0,5.0,False,False,True,False,False,False,False,True,True,False,False,False
246,True,True,740.0,148.0,2.0,3.0,False,False,True,False,False,False,False,True,False,False,True,False
247,True,False,401.0,80.0,7.0,1.0,False,False,False,True,False,False,True,False,False,False,True,False
248,False,False,174.0,35.0,1.0,3.0,False,False,False,True,False,True,False,False,False,False,True,False
249,True,True,564.0,113.0,10.0,5.0,False,True,False,False,False,False,False,True,False,False,True,False
250,False,False,381.0,76.0,1.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
251,True,True,641.0,128.0,5.0,2.0,False,True,False,False,False,False,True,False,True,False,False,False
252,False,False,530.0,106.0,3.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
253,False,False,595.0,119.0,1.0,4.0,False,True,False,False,False,False,False,True,False,False,True,False
254,False,False,183.0,37.0,1.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False
255,True,True,695.0,139.0,5.0,1.0,False,False,False,True,False,False,False,True,True,False,False,False
256,True,True,530.0,106.0,2.0,3.0,False,True,False,False,False,False,True,False,True,False,False,False
257,True,False,449.0,90.0,1.0,2.0,False,True,False,False,False,True,False,False,False,False,True,False
258,True,True,572.0,114.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
259,False,False,870.0,174.0,1.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
260,False,True,1192.0,238.0,4.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False
261,False,True,787.0,157.0,1.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
262,True,True,596.0,119.0,1.0,5.0,False,False,True,False,False,True,False,False,False,False,True,False
263,True,True,72.0,14.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
264,True,False,195.0,39.0,4.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False
265,False,True,321.0,64.0,5.0,2.0,False,True,False,False,False,False,True,False,False,False,True,False
266,True,True,313.0,63.0,1.0,5.0,False,True,False,False,False,False,False,True,False,False,True,False
267,False,True,1050.0,210.0,7.0,2.0,False,True,False,False,False,False,True,False,False,False,True,False
268,False,False,1125.0,225.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
269,True,False,396.0,79.0,4.0,1.0,False,True,False,False,False,False,True,False,False,False,True,False
270,True,True,120.0,24.0,1.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False
271,False,True,67.0,13.0,5.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False
272,True,True,888.0,178.0,1.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
273,False,True,526.0,105.0,7.0,5.0,False,True,False,False,False,False,False,True,False,False,True,False
274,True,True,142.0,28.0,7.0,3.0,False,True,False,False,False,False,True,False,True,False,False,False
275,False,False,903.0,181.0,2.0,4.0,False,False,True,False,False,False,True,False,False,False,True,False
276,False,True,290.0,58.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
277,False,False,490.0,98.0,1.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
278,True,True,174.0,35.0,1.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
279,True,False,665.0,133.0,3.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
280,False,False,250.0,50.0,1.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
281,True,True,655.0,131.0,1.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
282,False,True,503.0,101.0,1.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
283,True,False,1084.0,217.0,1.0,4.0,False,True,False,False,False,False,False,True,False,False,True,False
284,True,False,1129.0,226.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
285,True,True,75.0,15.0,1.0,4.0,False,False,True,False,False,False,True,False,True,False,False,False
286,True,False,721.0,144.0,1.0,4.0,False,False,True,False,False,False,False,True,True,False,False,False
287,True,True,954.0,191.0,2.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
288,True,True,1013.0,203.0,1.0,4.0,False,True,False,False,False,False,True,False,True,False,False,False
289,True,False,181.0,36.0,10.0,3.0,False,False,True,False,False,True,False,False,True,False,False,False
290,True,True,58.0,12.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
291,False,True,233.0,47.0,10.0,2.0,False,True,False,False,False,True,False,False,True,False,False,False
292,False,False,200.0,40.0,3.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
293,True,False,893.0,179.0,1.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
294,True,False,730.0,146.0,5.0,3.0,False,True,False,False,False,True,False,False,True,False,False,False
295,False,True,151.0,30.0,30.0,2.0,False,True,False,False,False,True,False,False,True,False,False,False
296,False,True,139.0,28.0,1.0,3.0,False,True,False,False,False,True,False,False,False,False,True,False
297,False,False,1088.0,218.0,1.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
298,True,False,163.0,33.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
299,False,False,574.0,115.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
300,True,False,57.0,11.0,3.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
301,False,True,552.0,110.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
302,False,False,227.0,45.0,1.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False
303,False,False,220.0,44.0,4.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
304,True,True,578.0,116.0,1.0,4.0,False,False,True,False,False,True,False,False,False,False,False,True
305,False,True,720.0,144.0,1.0,3.0,False,True,False,False,False,False,True,False,True,False,False,False
306,True,False,705.0,141.0,1.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
307,False,True,436.0,87.0,1.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
308,False,True,358.0,72.0,3.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
309,True,False,934.0,187.0,2.0,5.0,False,True,False,False,False,True,False,False,True,False,False,False
310,True,False,1015.0,203.0,1.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
311,True,False,815.0,163.0,1.0,1.0,False,False,True,False,False,False,False,True,True,False,False,False
312,True,True,620.0,124.0,2.0,3.0,False,False,True,False,False,True,False,False,False,False,True,False
313,False,False,1038.0,208.0,1.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
314,True,False,1155.0,231.0,1.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False
315,False,False,943.0,189.0,1.0,5.0,False,False,True,False,False,False,False,True,True,False,False,False
316,False,True,710.0,142.0,1.0,3.0,False,False,True,False,False,False,True,False,True,False,False,False
317,True,True,450.0,90.0,1.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
318,True,False,230.0,46.0,2.0,2.0,False,False,True,False,False,False,False,True,True,False,False,False
319,False,False,1197.0,239.0,1.0,3.0,False,False,True,False,False,False,True,False,False,False,True,False
320,True,False,882.0,176.0,3.0,5.0,False,False,True,False,False,True,False,False,True,False,False,False
321,False,True,1113.0,223.0,2.0,4.0,False,False,True,False,False,True,False,False,True,False,False,False
322,True,True,464.0,93.0,2.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False
323,True,False,551.0,110.0,1.0,2.0,False,False,True,False,False,False,True,False,True,False,False,False
324,True,False,342.0,68.0,2.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
325,False,True,716.0,143.0,1.0,1.0,False,False,True,False,False,False,True,False,True,False,False,False
326,True,False,808.0,162.0,3.0,5.0,False,False,True,False,False,False,True,False,True,False,False,False
327,False,True,807.0,161.0,7.0,3.0,False,True,False,False,False,True,False,False,False,False,True,False
328,True,False,630.0,126.0,1.0,1.0,False,False,False,True,False,False,False,True,False,False,False,True
329,True,False,1170.0,234.0,1.0,4.0,False,False,True,False,False,False,True,False,False,False,True,False
330,False,True,890.0,178.0,30.0,4.0,False,True,False,False,False,True,False,False,True,False,False,False
